ral,R,G,B,albedo,LRV
RAL 3022,207,105,85,0.228,25.49
RAL 3024,255,45,33,0.22135,24.33
RAL 3026,255,42,28,0.2185,26.1
RAL 3027,171,39,60,0.0988,13.04
RAL 3028,204,44,36,0.1406,17.29
RAL 3031,166,52,55,0.1026,13.57
RAL 3032,112,29,36,0.04275,8.36
RAL 3033,165,58,46,0.1064,16.19
RAL 4001,129,97,131,0.14155,17.5
RAL 4002,141,60,75,0.0893,12.31
RAL 4003,196,97,140,0.2109,24.5
RAL 4004,101,30,56,0.038,7.18
RAL 4005,118,104,154,0.15295,18.87
RAL 4006,144,51,115,0.09025,12.69
RAL 4007,71,36,60,0.02755,6.24
RAL 4008,132,76,130,0.11115,14.21
RAL 4009,157,134,146,0.24985,27.96
RAL 4010,187,64,119,0.1482,18.48
RAL 4011,110,99,135,0.133,23.15
RAL 4012,106,107,127,0.14345,25.34
RAL 5000,48,79,110,0.06935,9.81
RAL 5001,14,76,100,0.0589,8.57
RAL 5002,0,56,122,0.0399,7.44
RAL 5003,31,56,85,0.0361,6.21
RAL 5004,25,30,40,0.01235,4.62
RAL 5005,0,83,135,0.07505,10.27
RAL 5007,55,107,140,0.1254,15.25
RAL 5008,43,58,68,0.038,7.0
RAL 5009,33,95,120,0.09405,11.9
RAL 5010,0,79,124,0.0665,9.31
RAL 5011,26,43,60,0.02185,5.44
RAL 5012,0,137,182,0.20235,23.21
RAL 5013,25,49,83,0.0285,6.1
RAL 5014,99,125,150,0.18525,21.54
RAL 5015,0,124,175,0.16625,19.03
RAL 5017,0,91,140,0.0893,11.46
RAL 5018,4,139,140,0.1938,23.01
RAL 5019,0,94,131,0.0912,11.79
RAL 5020,0,65,75,0.04085,7.18
RAL 5021,0,117,119,0.13395,15.94
RAL 5022,34,45,90,0.0285,6.01
RAL 5023,65,105,140,0.12445,16.13
RAL 5024,96,147,172,0.24985,28.56
RAL 5025,32,105,124,0.11305,17.91
RAL 5026,15,48,82,0.0266,7.63
RAL 6000,60,116,96,0.13585,17.11
RAL 6001,54,103,53,0.10165,13.54
RAL 6002,50,89,40,0.076,11.18
RAL 6003,80,83,60,0.0779,10.81
RAL 6004,2,68,66,0.04275,7.66
RAL 6005,17,66,50,0.0399,7.09
RAL 6006,60,57,46,0.03895,7.51
RAL 6007,44,50,34,0.02755,6.33
RAL 6008,54,52,42,0.0323,6.05
RAL 6009,39,53,42,0.02945,6.11
RAL 6010,77,111,57,0.1254,15.18
RAL 6011,107,124,89,0.17385,20.85
RAL 6012,47,61,58,0.0399,7.01
RAL 6013,124,118,90,0.17195,20.19
RAL 6014,71,65,53,0.0513,7.84
RAL 6015,61,61,54,0.0437,7.0
RAL 6016,0,105,76,0.1007,12.99
RAL 6017,88,127,64,0.1672,20.05
RAL 6018,96,153,59,0.2432,27.51
RAL 6019,185,206,172,0.5453,58.29
RAL 6020,55,66,47,0.04655,8.28
RAL 6021,138,153,119,0.28025,32.14
RAL 6022,58,51,39,0.0323,6.32
RAL 6024,0,131,81,0.1596,19.75
RAL 6025,94,110,59,0.1311,16.16
RAL 6026,0,95,78,0.08265,10.75
RAL 6027,126,186,181,0.40755,44.35
RAL 6028,49,84,66,0.0703,10.44
RAL 6029,0,111,61,0.11115,13.93
RAL 6032,35,127,82,0.15295,18.79
RAL 6033,69,135,127,0.19095,22.75
RAL 6034,122,173,172,0.3515,38.69
RAL 6035,25,77,37,0.0532,10.6
RAL 6036,4,87,75,0.06935,14.23
RAL 6037,0,139,41,0.1767,21.38
RAL 6038,0,181,27,0.31445,29.78
RAL 6039,179,196,62,0.4693,
RAL 7000,122,136,142,0.22515,25.68
RAL 7001,140,151,156,0.28595,31.66
RAL 7002,129,120,99,0.1805,22.15
RAL 7003,121,118,105,0.171,20.19
RAL 7004,154,155,155,0.3116,34.79
RAL 7005,107,110,107,0.14535,18.03
RAL 7006,118,106,94,0.1425,16.94
RAL 7008,116,95,61,0.1159,15.09
RAL 7009,93,96,88,0.1083,12.97
RAL 7010,88,92,86,0.0988,12.89
RAL 7011,82,89,93,0.09215,12.04
RAL 7012,87,93,94,0.10165,14.11
RAL 7013,87,80,68,0.0779,10.6
RAL 7015,79,83,88,0.0817,11.5
RAL 7016,56,62,66,0.04465,8.07
RAL 7021,47,50,52,0.02945,6.48
RAL 7022,76,74,68,0.06555,9.88
RAL 7023,128,128,118,0.20235,23.2
RAL 7024,69,73,78,0.0627,9.34
RAL 7026,55,67,69,0.05035,8.27
RAL 7030,146,142,133,0.2584,29.36
RAL 7031,91,104,109,0.1254,16.43
RAL 7032,181,176,161,0.4123,44.61
RAL 7033,127,130,116,0.20615,24.14
RAL 7034,146,136,111,0.23655,27.28
RAL 7035,197,199,196,0.53865,58.34
RAL 7036,151,147,146,0.28025,31.66
RAL 7037,122,123,122,0.18715,22.95
RAL 7038,176,176,169,0.40945,45.28
RAL 7039,107,102,94,0.1273,16.62
RAL 7040,152,158,161,0.32015,35.91
RAL 7042,142,146,145,0.2698,30.93
RAL 7043,79,82,80,0.07885,11.35
RAL 7044,183,179,168,0.42845,47.21
RAL 7045,141,146,149,0.2698,31.21
RAL 7046,126,134,138,0.22135,25.48
RAL 7047,200,200,199,0.54815,59.07
RAL 7048,129,123,115,0.19095,33.57
RAL 8000,137,105,63,0.1501,18.33
RAL 8001,157,98,43,0.15295,18.69
RAL 8002,121,77,62,0.09215,12.23
RAL 8003,126,75,39,0.0912,12.78
RAL 8004,141,73,49,0.10165,13.54
RAL 8007,112,70,43,0.076,10.6
RAL 8008,114,74,37,0.0817,11.88
RAL 8011,90,56,39,0.04845,8.11
RAL 8012,102,51,43,0.0513,8.16
RAL 8014,74,53,38,0.03895,7.12
RAL 8015,94,47,38,0.0437,7.67
RAL 8016,76,43,32,0.0323,6.78
RAL 8017,68,47,41,0.0323,6.64
RAL 8019,61,54,53,0.03705,6.88
RAL 8022,26,23,25,0.00855,4.57
RAL 8023,164,87,41,0.14155,17.78
RAL 8024,121,80,56,0.09595,12.99
RAL 8025,117,88,71,0.1064,13.68
RAL 8028,81,58,42,0.04655,8.21
RAL 8029,127,64,49,0.0798,14.02
RAL 9001,233,224,210,0.71535,75.78
RAL 9002,214,213,203,0.6289,67.19
RAL 9003,236,236,231,0.7942,84.54
RAL 9004,43,43,44,0.0228,5.69
RAL 9005,14,14,16,0.00475,4.22
RAL 9006,161,161,160,0.3382,45.88
RAL 9007,134,133,129,0.2223,28.94
RAL 9010,241,237,225,0.80465,84.82
RAL 9011,39,41,43,0.0209,4.87
RAL 9012,248,242,225,0.84455,
RAL 9016,241,241,234,0.8322,87.27
RAL 9017,41,41,42,0.0209,5.09
RAL 9018,200,203,196,0.5605,60.77
RAL 9022,133,133,131,0.2223,35.4
RAL 9023,120,123,122,0.1862,33.87
